RoomID,BackGround,ZombieCount,ZombieQuality,Event,ItemCount
3001,bg_S1.jpg,2,8,1,3
3002,bg_S2.jpg,1,5,1,2
3003,bg_S3.jpg,2,8,1,1
3004,bg_S4.jpg,1,5,0,1
3005,bg_S5.jpg,2,6,1,4
3006,bg_S1.jpg,3,7,1,4
3007,bg_S2.jpg,4,7,1,1
3008,bg_S3.jpg,3,6,1,4
3009,bg_S4.jpg,4,8,1,4
3010,bg_S5.jpg,3,6,1,2
3011,bg_S1.jpg,4,5,0,2
3012,bg_S2.jpg,4,8,1,1
3013,bg_S3.jpg,2,5,1,1
3014,bg_S4.jpg,3,6,0,4
3015,bg_S5.jpg,4,7,0,3
3016,bg_S1.jpg,4,6,1,1
3017,bg_S2.jpg,1,7,1,1
3018,bg_S3.jpg,4,8,0,1
3019,bg_S4.jpg,3,7,0,4
3020,bg_S5.jpg,4,6,1,1
3021,bg_S1.jpg,1,8,0,3
3022,bg_S2.jpg,1,7,1,2
3023,bg_S3.jpg,2,7,0,3
3024,bg_S4.jpg,2,8,1,2
3025,bg_S5.jpg,2,6,1,4
3026,bg_S1.jpg,4,6,1,4
3027,bg_S2.jpg,3,5,0,1
3028,bg_S3.jpg,2,6,1,2
3029,bg_S4.jpg,2,6,0,2
3030,bg_S5.jpg,2,5,0,2
3031,bg_S1.jpg,3,6,0,4
3032,bg_S2.jpg,4,5,0,3
3033,bg_S3.jpg,3,5,1,3
3034,bg_S4.jpg,2,7,1,2
3035,bg_S5.jpg,1,8,0,3
3036,bg_S1.jpg,3,5,0,1
3037,bg_S2.jpg,1,7,0,2
3038,bg_S3.jpg,2,7,0,3
3039,bg_S4.jpg,2,8,0,4
3040,bg_S5.jpg,2,8,0,3
3041,bg_S1.jpg,4,7,1,3
3042,bg_S2.jpg,2,5,0,2
3043,bg_S3.jpg,2,6,0,4
3044,bg_S4.jpg,1,5,1,4
3045,bg_S5.jpg,3,6,0,2
3046,bg_S1.jpg,2,5,0,2
3047,bg_S2.jpg,1,6,0,2
3048,bg_S3.jpg,4,8,0,2
3049,bg_S4.jpg,4,7,1,1
3050,bg_S5.jpg,1,5,1,4
3051,bg_S1.jpg,3,5,0,4
3052,bg_S2.jpg,1,7,1,4
3053,bg_S3.jpg,2,8,0,2
3054,bg_S4.jpg,2,6,1,4
3055,bg_S5.jpg,1,5,1,1
3056,bg_S1.jpg,3,5,1,1
3057,bg_S2.jpg,3,6,0,1
3058,bg_S3.jpg,2,7,0,4
3059,bg_S4.jpg,4,8,1,2
3060,bg_S5.jpg,4,6,0,2
3061,bg_S1.jpg,4,7,1,3
3062,bg_S2.jpg,4,5,1,3
3063,bg_S3.jpg,3,6,0,4
3064,bg_S4.jpg,4,6,1,3
3065,bg_S5.jpg,4,5,1,1
3066,bg_S1.jpg,4,5,0,1
3067,bg_S2.jpg,3,5,0,1
3068,bg_S3.jpg,1,8,0,4
3069,bg_S4.jpg,3,6,1,2
3070,bg_S5.jpg,4,5,0,3
3071,bg_S1.jpg,4,8,0,2
3072,bg_S2.jpg,2,7,0,3
3073,bg_S3.jpg,2,7,1,3
3074,bg_S4.jpg,3,8,0,2
3075,bg_S5.jpg,1,6,0,4
3076,bg_S1.jpg,4,6,1,4
3077,bg_S2.jpg,4,8,0,3
3078,bg_S3.jpg,1,6,1,2
3079,bg_S4.jpg,2,5,1,1
3080,bg_S5.jpg,2,5,1,4
3081,bg_S1.jpg,2,5,1,3
3082,bg_S2.jpg,3,6,0,1
3083,bg_S3.jpg,4,6,0,2
3084,bg_S4.jpg,2,5,0,1
3085,bg_S5.jpg,1,6,0,1
3086,bg_S1.jpg,1,8,0,3
3087,bg_S2.jpg,4,6,1,2
3088,bg_S3.jpg,4,7,0,1
3089,bg_S4.jpg,4,6,0,3
3090,bg_S5.jpg,3,5,1,4
3091,bg_S1.jpg,4,7,1,4
3092,bg_S2.jpg,4,7,0,1
3093,bg_S3.jpg,3,7,0,2
3094,bg_S4.jpg,1,5,0,4
3095,bg_S5.jpg,2,6,1,4
3096,bg_S1.jpg,3,5,0,3
3097,bg_S2.jpg,2,6,0,3
3098,bg_S3.jpg,3,8,1,1
3099,bg_S4.jpg,1,6,1,1
3100,bg_S5.jpg,4,5,0,3
